date,name,type,time,description
2025-01-01,Neujahrstag,Full day,,New Year's Day
2025-01-02,Berchtoldstag,Full day,,Berchtold's Day
2025-04-17,Tag vor Karfreitag,Quarter day,morning,Day before Good Friday
2025-04-18,Karfreitag,Full day,,Good Friday
2025-04-21,Ostermontag,Full day,,Easter Monday
2025-04-28,Sechseläuten,Half day,afternoon,Traditional Zurich spring holiday
2025-05-01,1. Mai,Full day,,Labor Day
2025-05-28,Tag vor Auffahrt,Quarter day,morning,Day before Ascension Day
2025-05-29,Auffahrtstag,Full day,,Ascension Day
2025-06-09,Pfingstmontag,Full day,,Whit Monday
2025-08-01,1. August,Full day,,Swiss National Day
2025-09-15,Knabenschiessen,Half day,afternoon,Traditional Zurich boys' shooting contest
2025-12-24,24. Dezember,Half day,afternoon,Christmas Eve
2025-12-25,Weihnachtstag,Full day,,Christmas Day
2025-12-26,Stephanstag,Full day,,St. Stephen's Day
2025-12-31,Silvester,Quarter day,morning,New Year's Eve
